time,tipPy_x,tipPy_y,tipPy_z,tipCpp_x,tipCpp_y,tipCpp_z
2.433999999999842956e+00,1.191228485118881020e+00,-1.031517867411561484e+00,-3.316670607561639965e-04,1.191229234072276988e+00,-1.031516666128324822e+00,-3.610810497414994606e-04
2.449999999999841194e+00,1.182096749058078045e+00,-1.034615302898233002e+00,-2.834732308958616358e-04,1.182097621712337343e+00,-1.034614594213696392e+00,-3.183240232217128388e-04
2.466999999999839321e+00,1.171315547956222725e+00,-1.041789378053633364e+00,-2.336942777447991132e-04,1.171316557291415483e+00,-1.041789193684300674e+00,-2.718571881357107010e-04
2.483999999999837449e+00,1.159406636877066799e+00,-1.052975470030490968e+00,-1.883405348863945649e-04,1.159407781833702300e+00,-1.052975809661831796e+00,-2.271177089287261758e-04
2.499999999999835687e+00,1.147117279647872801e+00,-1.067171140556677278e+00,-1.520346429409741708e-04,1.147118545159955039e+00,-1.067171972148361014e+00,-1.889564647741750092e-04
2.516999999999833815e+00,1.132817069797414922e+00,-1.086143287838141402e+00,-1.221841571578237634e-04,1.132818448957680690e+00,-1.086144639823424907e+00,-1.547692053485224964e-04
2.533999999999831942e+00,1.117096009950972579e+00,-1.109100716065019698e+00,-1.026658023002519169e-04,1.117097480406411325e+00,-1.109102584763565158e+00,-1.288787824049295223e-04
2.549999999999830180e+00,1.100832633453741050e+00,-1.134311465968731669e+00,-9.431747434531579158e-05,1.100834162253765625e+00,-1.134313816253843088e+00,-1.131706457688541102e-04
2.566999999999828308e+00,1.081768000306047917e+00,-1.164863580060643056e+00,-9.602378367337448338e-05,1.081769553813308526e+00,-1.164866435024163316e+00,-1.062368071360831663e-04
2.583999999999826436e+00,1.060581457681061712e+00,-1.199197098341168610e+00,-1.078994534184811921e-04,1.060582988827162731e+00,-1.199200448005897535e+00,-1.093273576855435835e-04
